Model,Params (M),FLOPs (G),mAP50 (%),mAP50-95 (%),AP50_hat (%),Recall_hat (%),F1_hat,GPU Latency (ms),GPU FPS
YOLOv8n,3.15,8.7,93.21,60.26,92.42,87.16,0.8879,2.85,350.8
YOLOv8s,11.24,28.6,94.89,62.21,94.28,90.62,0.9120,6.10,163.9
YOLOv10n,2.30,6.7,93.30,60.35,92.97,87.13,0.8930,2.66,375.9
YOLOv10s,8.00,21.6,94.39,62.19,93.36,89.14,0.9049,6.23,160.5
YOLO11n,2.60,6.5,93.19,60.21,92.33,86.51,0.8964,3.18,314.2
YOLO11s,9.40,21.5,94.74,62.54,94.06,90.35,0.9073,6.52,153.3
EC-YOLOv8 (2024),3.48,9.2,95.70,74.60,-,-,-,5.80,172.4
YOLO-CBF (2023),37.20,104.5,95.60,-,95.10,99.00,-,12.40,80.6
YOLOv8n-FADS (2024),2.10,5.8,79.70,-,-,-,-,-,-
Rep-YOLO11s (Ours Single),9.85,22.4,94.83,62.54,94.44,91.33,0.9190,2.92,342.5
Rep-YOLO11s (Ours 5-Fold),9.85,22.4,96.64 +/- 0.32,65.91 +/- 0.46,94.94 +/- 0.47,93.01 +/- 0.73,0.9396,2.92,342.5
